Company Name,Website,Qualification Score,Why It Is Relevant,Evidence Source,Confidence,Recommended Next Step,Review Status
OZiva,https://www.oziva.in,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.oziva.in,High,Business Review,pending_review
Mamaearth,https://mamaearth.in,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://mamaearth.in,High,Business Review,pending_review
OmniActive Health Technologies,https://omniactives.com,6.0,Active website; Relevant wellness industry; Strong public evidence,https://omniactives.com,High,Business Review,pending_review
Wellbeing Nutrition,https://www.wellbeingnutrition.com,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.wellbeingnutrition.com,High,Business Review,pending_review
mCaffeine,https://www.mcaffeine.com,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.mcaffeine.com,High,Business Review,pending_review
Honasa Consumer,https://honasa.in,6.0,Active website; Relevant wellness industry; Strong public evidence,https://honasa.in,High,Business Review,pending_review
SUGAR Cosmetics,https://www.sugarcosmetics.com,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.sugarcosmetics.com,High,Business Review,pending_review
Plix,https://www.plixlife.com,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.plixlife.com,High,Business Review,pending_review
Huel,https://huel.com,6.0,Active website; Relevant wellness industry; Strong public evidence,https://huel.com,High,Business Review,pending_review
The Whole Truth,https://www.thewholetruthfoods.com,5.0,Active website; Clear product offering; Strong public evidence,https://www.thewholetruthfoods.com,High,Business Review,pending_review
Traya,https://traya.health,6.0,Active website; Relevant wellness industry; Strong public evidence,https://traya.health,High,Business Review,pending_review
Man Matters,https://www.manmatters.com,6.0,Active website; Relevant wellness industry; Strong public evidence,https://www.manmatters.com,High,Business Review,pending_review
HealthKart,https://www.healthkart.com,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.healthkart.com,High,Business Review,pending_review
Plum,https://plumgoodness.com,6.0,Active website; Relevant wellness industry; Strong public evidence,https://plumgoodness.com,High,Business Review,pending_review
WOW Skin Science,https://www.buywow.in,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.buywow.in,High,Business Review,pending_review
Kapiva,https://www.kapiva.in,8.0,Active website; Relevant wellness industry; Clear product offering; Strong public evidence,https://www.kapiva.in,High,Business Review,pending_review
